added_noise_sigma,best_gain,sr_frequency_Hz,sr_coarse_frequency_Hz,sr_projection_fraction,sr_local_snr_dB,original_projection_energy,original_residual_energy,original_energy_fraction,difference_from_projection_Hz
0,0.273333333333333,1.99995336761713,2.0000016152054,0.0649051725052017,28.9223699724315,24.7390558578,400.14881229363,0.0582249052330742,-4.82475882661593e-05
0.05,0.115,1.99994952935007,2.0000016152054,0.0641214654679711,28.9830840631093,24.7341993259462,400.153668825485,0.058213475083574,-5.20858553343384e-05
0.1,0.146666666666667,1.99995173582882,2.0000016152054,0.065004545740831,28.5464041755492,24.7370364894062,400.150831662025,0.0582201525240771,-4.98793765775218e-05
0.2,0.4,1.99995489880589,2.0000016152054,0.0614225056195658,28.5472455710035,24.7408897568739,400.146978394557,0.0582292214285022,-4.67163995074849e-05
0.3,0.146666666666667,1.9999337196349,2.0000016152054,0.0581846940990143,27.3014211404386,24.7102883084942,400.177579842935,0.0581571990181829,-6.78955705024631e-05
0.5,0.3525,1.99993200765051,2.0000016152054,0.0535151873651655,29.1059913249109,24.7073221310729,400.180546020357,0.0581502179353052,-6.96075548911601e-05
0.8,0.02,1.99997366244755,2.0000016152054,0.0391922473979151,25.6083774672372,24.7585650600301,400.1293030914,0.0582708213528142,-2.79527578523897e-05
1,0.4,1.99993533436161,2.0000016152054,0.0323285242572603,23.6118438198964,24.7130185266271,400.174849624802,0.0581636247562129,-6.6280843790345e-05
1.5,0.02,2.00004143640669,2.0000016152054,0.0169968154522292,23.0922999413396,24.7484202987973,400.139447852633,0.0582469450268629,3.98212012897581e-05
2,0.4,2.00000652829244,2.0000016152054,0.0138248995696354,19.7230386403212,24.7681211999016,400.119746951529,0.0582933123218154,4.91308703498561e-06
