delta_f_Hz,SNR_dB,fft_success_rate,varpro_success_rate,varpro_mean_abs_error_Hz
0.0005,-20,0,0,NaN
0.001,-20,0,0.333333333333333,0.000246599989139007
0.0015,-20,0,0.333333333333333,0.00027920233518941
0.002,-20,0,1,0.000132876451349221
0.0025,-20,0,1,5.8821311481753e-05
0.003,-20,0,1,0.000100414607320095
0.005,-20,1,1,4.87506668921019e-05
0.0005,-16,0,0,NaN
0.001,-16,0,0.333333333333333,7.99999999996359e-05
0.0015,-16,0,0.666666666666667,0.000241512316107695
0.002,-16,0,1,0.000128565508485501
0.0025,-16,0,1,6.29882462268583e-05
0.003,-16,0,1,6.51807873867464e-05
0.005,-16,1,1,4.36521029962833e-05
0.0005,-12,0,0.333333333333333,9.49999999990681e-05
0.001,-12,0,0.333333333333333,0.000169999999999781
0.0015,-12,0,1,0.000258257028644238
0.002,-12,0,1,4.94270779040444e-05
0.0025,-12,0,1,4.50000000003688e-05
0.003,-12,0,1,3.17531840803298e-05
0.005,-12,1,1,2.37661930103291e-05
0.0005,-8,0,0.333333333333333,5.9722530489914e-05
0.001,-8,0,1,0.00014207744602827
0.0015,-8,0,1,7.9927392730994e-05
0.002,-8,0,1,2.50888842829866e-05
0.0025,-8,0,1,2.9586891167277e-05
0.003,-8,0,1,1.24030593937619e-05
0.005,-8,1,1,2.1960109359694e-05
